{112.12893435312573, 1.9562579903359537*^6, 721155.478041609, 89.2029718693459, 3.3698398841587406*^8, 4.6612265983184046*^8}
{190.90671833472035, 1.9564297812689187*^6, 721190.9965488157, 68.70492448998027, 3.2697367116411924*^8, 9.997258868671687*^8}
{99.80240682808986, 1.9566299369516044*^6, 721265.782937787, 97.96907595733316, 419458.4409376258, 470194.48899858026}
{47.05032254272815, 1.9564158046735853*^6, 2.9945880560187977*^7, 9.999985539545823*^8, 2.4677305818246346*^7, 53.04998728428638}
{47.050541896081924, 1.9564586977290185*^6, 3.1870458714506716*^7, 9.999954998838713*^8, 2.3152947934730366*^7, 52.97077029217526}
{1.2465691960353914*^8, 2.273986228675009*^6, 721221.2917101172, 51.77173420043026, 337.01613650413907, 7.682542924340353*^8}
{8.84383143448073*^8, 4.0240824158027995*^8, 721273.7984677998, 51.77107533149538, 47.283922793118336, 4.321656798109722*^6}
{50373.692418329956, 9.952360178012693*^8, 1.0525060245531254*^8, 14385.23802337207, 47.151495342226404, 52.12321722700002}
{9.953835136964842*^8, 2.132405811704363*^7, 721427.5508276144, 51.763318680748576, 51.8249574003646, 1.0064244187689736*^8}
{47.08138086921888, 1.9601472889878235*^6, 1.1023309395846471*^7, 9.994203043543276*^8, 7.003172029002891*^7, 55.37968535617767}
