{1192.9222874681407, 1.3377564668044215*^7, 4.952451691814895*^6, 1193.54323345075, 6.723365924993525*^7, 6.94370347412232*^7}
{590.9031449755934, 1.341579005948755*^7, 1.790778481468623*^7, 542424.9653931195, 206515.7684669785, 838.1890253452088}
{163753.57929317636, 1.396728701425088*^8, 5.139081190830355*^6, 653.696789663525, 649.0064403959183, 16696.493763948303}
{613.5786882851155, 1.3377486355082618*^7, 4.952481392965423*^6, 13916.255247211604, 9.561841144388942*^8, 4.3563844657432884*^7}
{586.9537826693759, 1.33787762303292*^7, 7.956185172807041*^8, 9.978651440315303*^8, 6.249699809633984*^6, 610.187257530569}
{40491.99465416062, 4.0475227213808435*^8, 2.253252508915261*^7, 4913.208432696973, 606.9095446519109, 777.2038048878687}
{586.9621220652486, 1.3378924209439687*^7, 7.419348679983164*^8, 8.636158165898253*^8, 5.8028596006583525*^6, 610.4634699128559}
{1203.4931869781096, 2.026587748095535*^7, 6.900585440836105*^8, 323319.2806202838, 1726.5051503722027, 610.7716279080142}
{35854.37196225404, 4.077876231342512*^8, 9.972208243928013*^8, 243660.03055260464, 606.7476651483347, 609.4073562726819}
{707.0568746616844, 1.3377485282529136*^7, 4.952430173225547*^6, 3566.5502256823434, 9.95098832102884*^8, 2.0385809352240527*^8}
