ID,Enzyme Total (Mol/L)
PGI,1.09145E-05
PFK1,3.43544E-06
PFK2,2.22741E-06
FBP1,2.23909E-06
FBP2,4.44432E-07
FBA1,4.75601E-05
FBA2,5.12329E-06
TPI,1.76451E-05
GAPD,0.000111691
PGK,9.49804E-05
PGMi,2.85993E-05
PGMd,3.18902E-06
ENO,8.57539E-05
PYK1,4.5123E-06
PYK2,2.11171E-05
PPS,2.74626E-06
LDH_D,1.34218E-06
