{2367.809722222599, 8.591893091926176*^6, 4.782490135767208*^8, 45933.97602475795, 796.2186008162233, 527.7311806855329}
{510.8096769231042, 3.0819176937223673*^6, 1.5534417284830078*^8, 3.8170521986609094*^7, 3.6033091620920426*^6, 561.4152226909057}
{510.68843959534473, 3.081677619338335*^6, 7.959860536474419*^8, 9.999693302739621*^8, 1.7124746081713706*^7, 521.7766395039306}
{514.2881050926874, 3.091780785886044*^6, 6.91555037734503*^8, 7.425421299701852*^6, 146166.69213876312, 523.0619838933751}
{1942.6858030589149, 7.351699357369273*^6, 7.351023751703092*^8, 75506.42701590054, 879.1370887972116, 522.4539544777414}
{255765.18760698717, 7.662430876270059*^8, 9.999990415842389*^8, 76050.48904406713, 512.7695184226521, 519.8942097363135}
{5195.611005251977, 3.081843559186105*^6, 1.3404422474832647*^7, 568.9336517903583, 1.0389270805532317*^8, 9.531441791904762*^8}
{510.65620283899136, 3.0818537775047296*^6, 2.3788149757807937*^7, 1.9749943467183506*^8, 2.5496150490846193*^8, 1175.290640379788}
{510.6591174840803, 3.0818361354514738*^6, 1.435516091094888*^7, 6.927033118545865*^7, 9.768598821007968*^8, 7747.765324659486}
{4.1052668011584334*^7, 3.2095827384650055*^6, 1.3404734354236083*^7, 513.0242028236993, 12831.373163066984, 9.904166148664808*^8}
