{1.2940440712240082*^6, 9.950360798040096*^8, 9.867288829452001*^8, 457.89393870010935, 2.2348939236954864*^7, 9.798387915939374*^8, 2.327715184329889*^7, 9.07214833585734*^8, 0.43056154807879543, 12429.965861857567}
{1.2594044892589932*^6, 9.681402375415344*^8, 1.3733114770438856*^7, 54446.25170330058, 146191.4119108266, 1.7942237484715927*^8, 9.999994677806242*^8, 7.125830371611346*^8, 67.41665930947217, 445.21975831009803}
{1.2999375314811277*^6, 9.997718592791573*^8, 9.999994541263028*^8, 18291.04650091277, 0.009367311762232874, 544593.8248296359, 9.119840706620362*^6, 13583.668898355387, 32.47624263527521, 469.278494033748}
{1.2994857418206676*^6, 9.994251893223155*^8, 536301.3259710673, 6553.224309313278, 23.029789511393084, 544889.6537497101, 4.0392361150728333*^8, 479.10223670350075, 0.612829730615346, 40901.28694315284}
{1.3002335964857321*^6, 9.999992729359965*^8, 9.991115660526556*^8, 58549.522931563064, 1.4082449656624118*^-6, 544582.6354495372, 9.991115660526556*^8, 8.971219694680915*^8, 7.077564085852003*^8, 796.0555060402789}
{1.2984294512239618*^6, 9.98614737201385*^8, 1.9466532000609237*^8, 1.0140807195317144*^7, 19.17819734343253, 564688.9157418705, 9.999994675273379*^8, 2949.848364239612, 0.10269089780363241, 519.4416448593875}
{1.2973113371623105*^6, 9.977158375720221*^8, 673221.2788670473, 1.1705229991515851*^8, 965372.7869774258, 558236.9612647915, 1.7580015537728378*^8, 441.641454465646, 11035.677908044994, 9.999994675043141*^8}
{724492.7279405949, 5.578016876418831*^8, 9.958105699104935*^8, 457.6525402886262, 2.8689794030875087*^7, 5.830854052565668*^8, 1.0252586474218278*^6, 24060.186544609704, 0.00025697596728775206, 26803.217075107965}
{0.032919673715000985, 692781.1763401938, 3.313961242467433*^8, 9.133660474391677*^8, 7.963691859145739*^8, 2.141539742031959*^7, 9.026418433313148*^8, 684.0089515161737, 2380.6596963432894, 3.545440082259923*^7}
{0.00021527581714333907, 692730.5533956337, 9.80226282196401*^8, 14054.40142384113, 2.0466016298508456*^8, 1.4910775864564118*^6, 665917.2583805718, 718.9528363474409, 20280.558066327834, 9.836656286505985*^8}
