{65409.49937161282, 5.079519311160826*^8, 5.5836971329062864*^7, 1373.9041422170392, 15.112117983575923, 410.4651817930869}
{9.999690994734281*^8, 3.367555169533741*^8, 1.3205862141988927*^7, 313.40063805537045, 15.162269232497207, 9.84623745956178*^6}
{31127.56380040811, 2.3470528224977013*^7, 1.4079960934430717*^7, 335.3002244433435, 17.456628927200367, 5045.655695361875}
{71529.07455357419, 7.065070173831182*^8, 7.636182893132395*^8, 18979.304817975975, 15.084535451373966, 318.9050854587941}
{8.73041757087731*^8, 7.8498417068687575*^6, 1.3205448742583554*^7, 313.390351378092, 25.811077507674728, 6.277910967506882*^8}
{9.999999912878019*^8, 2.5663589914851844*^7, 1.320547043455855*^7, 313.39088851623484, 17.21731321966841, 1.4671781103924546*^8}
{455342.67414506007, 4.183572813982184*^6, 1.320793401681763*^7, 313.4624862831633, 69.79157551212705, 1.661157068577082*^6}
{26.97221513364261, 3.3995554985622284*^6, 4.2440506431787854*^8, 23773.02398511096, 440.0026291817156, 323.454530074303}
{15.022216017264046, 3.2836265248832474*^6, 4.6561313652306676*^8, 2.2308500124597628*^7, 650845.8965723619, 322.5378075351368}
{15.014456758682106, 3.2835510096964324*^6, 7.512760873647927*^7, 9.955916851480947*^8, 2.123182332280717*^8, 380.2233734394775}
